
SunOS server_sol5.10 5.10 Generic_148888-05 sun4v    07/17/2019

00:00:00    %usr    %sys    %wio   %idle
           vdc0             12     0.3      28     617     1.2     9.7
           vdc1              0     0.0       1       3     0.0     0.7
           vdc2              1     0.0      10      21     0.0     1.2
           vdc3             99     9.9      32    8025     3.8   307.9
           vdc4              0     0.0       3       6     0.0     1.9

01:20:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              4     0.1      12     369     0.0     9.8
           vdc1              0     0.0       0       1     0.0     0.7
           vdc2              0     0.0       3       8     0.0     1.5
           vdc3             24     2.3      75   18806     0.0    30.5
           vdc4              0     0.0       2       4     0.0     1.4

01:25:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              5     0.1      10     318     0.0    10.4
           vdc1              0     0.0       0       0     0.0     0.8
           vdc2              0     0.0       0       0     0.0     0.7
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     1.0

01:30:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              5     0.2      10     685     0.0    16.8
           vdc1              0     0.0       0       0     0.0     0.7
           vdc2              0     0.0       1       2     0.0     1.2
           vdc3              0     0.0       0       0     0.0     0.6
           vdc4              0     0.0       1       1     0.0     3.9

01:35:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              7     0.2      10     535     0.0    18.8
           vdc1              0     0.0       0       1     0.0     0.7
           vdc2              0     0.0       3       7     0.0     1.6
           vdc3              0     0.0       0       0     0.0     0.7
           vdc4              0     0.0       2       3     0.0     1.1

01:40:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              7     0.2      14     633     0.0    11.6
           vdc1              0     0.0       1       1     0.0     0.7
           vdc2              0     0.0       3       7     0.0     1.4
           vdc3              0     0.0       0       0     0.0     0.6
           vdc4              0     0.0       2       3     0.0     1.1

01:45:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              5     0.1      10     442     0.0    14.6
           vdc1              0     0.0       1       1     0.0     0.6
           vdc2              0     0.0       5       9     0.0     1.3
           vdc3              0     0.0       0       1     0.0     0.6
           vdc4              0     0.0       2       4     0.0     1.1

01:50:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              8     0.1      56    1003     0.0     2.5
           vdc1              0     0.0       3       6     0.0     0.6
           vdc2              2     0.0      26      55     0.0     0.8
           vdc3              0     0.0       1       2     0.0     0.7
           vdc4              2     0.0      15      33     0.0     1.3

01:55:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              3     0.1      15     294     0.0     7.4
           vdc1              0     0.0       0       0     0.0     0.7
           vdc2              0     0.0       5      11     0.0     0.9
           vdc3              0     0.0       0       0     0.0     0.6
           vdc4              0     0.0       3       7     0.0     0.8

02:00:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       6     161     0.0     2.3
           vdc1              0     0.0       0       0     0.0     6.1
           vdc2              0     0.0       0      12     0.0     2.5
           vdc3              0     0.0       0       0     0.0    14.8
           vdc4              0     0.0       0       0     0.0     8.3

02:05:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0       5     106     0.0     6.9
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

02:10:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       5     248     0.0     3.0
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

02:15:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             41     0.6     122     832     0.0     5.1
           vdc1              0     0.0       2       8     0.0     6.7
           vdc2              1     0.1       5     440     0.0    10.0
           vdc3              0     0.0       3     111     0.0     3.6
           vdc4              2     0.1       2      58     0.0    39.6

02:20:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             12     0.3      83    1403     0.0     3.3
           vdc1             35     0.4      32      88     0.0    13.4
           vdc2              1     0.1      11     954     0.0     7.6
           vdc3              0     0.0       4     149     0.0     4.5
           vdc4              3     0.1       4     109     0.0    21.9

02:25:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             10     0.3      27     602     0.0     9.4
           vdc1             15     0.2      16      46     0.0    11.1
           vdc2             25     0.6      32     645     0.0    17.7
           vdc3              0     0.0       4     105     0.0     3.5
           vdc4              2     0.1       3      58     0.0    25.6

02:30:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       7     615     0.0     2.6
           vdc1              0     0.0       3      50     0.0     3.0
           vdc2             49     0.7      76     839     0.0     9.4
           vdc3              0     0.0       3      81     0.0     3.4
           vdc4              0     0.0       3      48     0.0    12.3

02:35:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0       8     673     0.0     5.9
           vdc1              1     0.1       4     128     0.0    14.4
           vdc2             11     0.3      26    1148     0.0    12.2
           vdc3              0     0.0       4     119     0.0     3.2
           vdc4             39     1.1      81     363     0.0    13.3

