Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:15:01 PM      4.57      0.04      4.53      0.41     55.36
09:25:01 PM      4.26      0.02      4.24      0.15     46.07
09:35:01 PM      4.00      0.02      3.98      0.19     44.40
09:45:01 PM      4.17      0.06      4.11      0.45     66.57
09:55:01 PM      4.38      0.06      4.33      0.44     50.84
10:05:01 PM      4.07      0.03      4.04      0.25     45.28
10:15:01 PM      3.83      0.01      3.82      0.07     43.29
10:25:01 PM      4.04      0.04      4.00      0.31     44.19
10:35:01 PM      4.04      0.09      3.95      4.52     45.88
10:45:01 PM      3.92      0.05      3.86      0.44     64.26
10:55:01 PM      4.04      0.03      4.00      0.25     45.44
11:05:01 PM      4.19      0.02      4.17      0.16     46.51
11:15:01 PM      5.82      0.96      4.85     32.08     58.64
11:25:01 PM      4.25      0.04      4.21      0.33     48.19
11:35:01 PM      3.62      0.00      3.61      0.03     43.81
11:45:01 PM      4.05      0.02      4.03      0.15     92.58
11:55:01 PM      3.79      0.06      3.74      0.88     47.20
11:59:01 PM      3.85      0.07      3.77      0.60     43.70
12:00:01 AM      4.55      0.02      4.53      0.53     50.67
Average:         4.27      0.09      4.18      2.83     55.79

05:35:01 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:45:01 PM    296780   1800412   3644088     92.47    160368   1483908   3297052     83.66   2973424    461832       252   1790920    155548      4292     17828         0
05:55:01 PM    288528   1792956   3652340     92.68    160468   1484620   3302356     83.80   2981008    461812       164   1797744    155416      4316     18452         0
06:05:01 PM    289096   1794448   3651772     92.66    160600   1485484   3307804     83.94   2976004    462304       468   1792288    156164      4524     20636         0
06:15:01 PM    256148   1762008   3684720     93.50    160656   1485944   3566060     90.49   3010620    462516       528   1826572    156088      4492     19992         0
