
SunOS server_sol5.8 5.8 Generic_117350-47 sun4u    07/17/19

00:00:00    %usr    %sys    %wio   %idle
           sd0,c             0     0.0       0       0     0.0     0.0
           sd0,d             2     0.0       3      25     0.0     7.4
           sd0,e            10     0.1       6       6     0.0    18.2
           sd0,f             1     0.0       1      19     0.0     7.8
           sd0,g             0     0.0       0       0     0.0     0.0
           sd0,h             4     0.1       5      32     0.0    16.0
           sd1              14     0.3      22     123     0.0    11.6
           sd1,a             5     0.1       7      42     0.0    10.7
           sd1,b             0     0.0       0       0     0.0     0.0
           sd1,c             0     0.0       0       0     0.0     0.0
           sd1,d             2     0.0       3      25     0.0     7.2
           sd1,e             9     0.1       6       6     0.0    16.4
           sd1,f             1     0.0       1      20     0.0     7.2
           sd1,g             0     0.0       0       0     0.0     0.0
           sd1,h             4     0.1       5      31     0.0    11.9
           sd30              0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0

00:40:00   md0               2     0.0       2      14     3.7    14.4
           md1               2     0.0       2       8     0.0    13.8
           md2               1     0.0       2       8     0.0    11.2
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              1     0.0       1       9     7.9    16.1
           md31              1     0.0       1       5     0.0    14.7
           md32              1     0.0       1       5     0.0    12.2
           md50              0     0.0       0       3     6.4    15.7
           md51              0     0.0       0       2     0.0    14.3
           md52              0     0.0       0       2     0.0    12.0
           md60              0     0.0       0       0     0.0     0.0
           md61              0     0.0       0       0     0.0     0.0
           md62              0     0.0       0       0     0.0     0.0
           md70              2     0.0       2      12     6.5    12.5
           md71              1     0.0       1       7     0.0    13.0
           md72              1     0.0       1       7     0.0     9.8
           sd0               5     0.1       6      24     0.0    14.0
           sd0,a             2     0.0       2       8     0.0    12.5
           sd0,b             0     0.0       0       0     0.0     0.0
           sd0,c             0     0.0       0       0     0.0     0.0
           sd0,d             1     0.0       1       5     0.0    14.7
           sd0,e             3     0.0       2       2     0.0    16.3
           sd0,f             0     0.0       0       2     0.0    14.3
           sd0,g             0     0.0       0       0     0.0     0.0
           sd0,h             1     0.0       1       7     0.0    13.0
           sd1               4     0.1       6      25     0.0    11.9
           sd1,a             1     0.0       2       8     0.0    10.1
           sd1,b             0     0.0       0       0     0.0     0.0
           sd1,c             0     0.0       0       0     0.0     0.0
           sd1,d             1     0.0       1       5     0.0    12.2
           sd1,e             2     0.0       2       2     0.0    15.9
           sd1,f             0     0.0       0       2     0.0    12.0
           sd1,g             0     0.0       0       0     0.0     0.0
           sd1,h             1     0.0       1       7     0.0     9.8
           sd30              0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0

00:45:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       3     5.9     9.9
           md31              0     0.0       0       2     0.0     9.4
           md32              0     0.0       0       2     0.0     8.4
           md50              0     0.0       0       1    11.6     8.6
           md51              0     0.0       0       1     0.0     7.8
           md52              0     0.0       0       1     0.0     6.1
           md60              0     0.0       0       0     0.0     0.0
           md61              0     0.0       0       0     0.0     0.0
           md62              0     0.0       0       0     0.0     0.0
           md70              1     0.0       1       8     4.3    10.7
           md71              1     0.0       1       5     0.0    10.7
           md72              1     0.0       1       5     0.0     8.8
           sd0               2     0.0       2       9     0.0    10.4
           sd0,a             0     0.0       0       0     0.0     0.0
           sd0,b             0     0.0       0       0     0.0     0.0
           sd0,c             0     0.0       0       0     0.0     0.0
           sd0,d             0     0.0       0       2     0.0     9.4
           sd0,e             1     0.0       1       1     0.0    14.0
           sd0,f             0     0.0       0       1     0.0     7.8
           sd0,g             0     0.0       0       0     0.0     0.0
           sd0,h             1     0.0       1       5     0.0    10.7
           sd1               2     0.0       2       9     0.0     9.3
           sd1,a             0     0.0       0       0     0.0     0.0
           sd1,b             0     0.0       0       0     0.0     0.0
           sd1,c             0     0.0       0       0     0.0     0.0
           sd1,d             0     0.0       0       2     0.0     8.3
           sd1,e             1     0.0       1       1     0.0    14.0
           sd1,f             0     0.0       0       1     0.0     6.1
           sd1,g             0     0.0       0       0     0.0     0.0
           sd1,h             1     0.0       1       5     0.0     8.8
           sd30              0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0

00:50:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       3     6.8    11.9
           md31              0     0.0       0       2     0.0    11.6
           md32              0     0.0       0       2     0.0     9.0
