Linux 3.10.0-1062.7.1.el7.x86_64 (server_rhel7.6) 	12/31/2019 	_x86_64_	(1 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:00:02 PM       0      1.35      0.00      1.45      0.04      0.00      0.00      0.01      0.00      0.00     97.15
03:10:01 PM     all      1.19      0.00      1.13      0.04      0.00      0.00      0.01      0.00      0.00     97.63
03:10:01 PM       0      1.19      0.00      1.13      0.04      0.00      0.00      0.01      0.00      0.00     97.63
03:20:01 PM     all      1.10      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
03:20:01 PM       0      1.10      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
03:30:01 PM     all      1.37      0.00      1.38      0.04      0.00      0.00      0.00      0.00      0.00     97.21
03:30:01 PM       0      1.37      0.00      1.38      0.04      0.00      0.00      0.00      0.00      0.00     97.21
03:40:02 PM     all      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
03:40:02 PM       0      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
03:50:01 PM     all      1.11      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
03:50:01 PM       0      1.11      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
04:00:01 PM     all      1.40      0.00      1.40      0.04      0.00      0.00      0.00      0.00      0.00     97.16
04:00:01 PM       0      1.40      0.00      1.40      0.04      0.00      0.00      0.00      0.00      0.00     97.16
04:10:01 PM     all      1.20      0.00      1.15      0.04      0.00      0.00      0.00      0.00      0.00     97.62
04:10:01 PM       0      1.20      0.00      1.15      0.04      0.00      0.00      0.00      0.00      0.00     97.62
04:20:01 PM     all      1.12      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.73
04:20:01 PM       0      1.12      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.73
04:30:01 PM     all      1.37      0.00      1.36      0.04      0.00      0.00      0.00      0.00      0.00     97.23
04:30:01 PM       0      1.37      0.00      1.36      0.04      0.00      0.00      0.00      0.00      0.00     97.23

04:30:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
04:40:01 PM     all      1.10      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.74
04:40:01 PM       0      1.10      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.74
04:50:01 PM     all      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
04:50:01 PM       0      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
05:00:01 PM     all      1.35      0.00      1.42      0.04      0.00      0.00      0.00      0.00      0.00     97.19
05:00:01 PM       0      1.35      0.00      1.42      0.04      0.00      0.00      0.00      0.00      0.00     97.19
05:10:01 PM     all      1.13      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.69
05:10:01 PM       0      1.13      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.69
05:20:01 PM     all      1.16      0.00      1.11      0.06      0.00      0.00      0.00      0.00      0.00     97.67
05:20:01 PM       0      1.16      0.00      1.11      0.06      0.00      0.00      0.00      0.00      0.00     97.67
05:30:01 PM     all      1.33      0.00      1.42      0.03      0.00      0.00      0.00      0.00      0.00     97.22
05:30:01 PM       0      1.33      0.00      1.42      0.03      0.00      0.00      0.00      0.00      0.00     97.22
05:40:01 PM     all      1.10      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.73
05:40:01 PM       0      1.10      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.73
05:50:01 PM     all      1.11      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
05:50:01 PM       0      1.11      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
06:00:01 PM     all      1.37      0.00      1.40      0.05      0.00      0.00      0.00      0.00      0.00     97.18
06:00:01 PM       0      1.37      0.00      1.40      0.05      0.00      0.00      0.00      0.00      0.00     97.18
06:10:01 PM     all      1.50      0.00      1.36      0.03      0.00      0.00      0.03      0.00      0.00     97.07
06:10:01 PM       0      1.50      0.00      1.36      0.03      0.00      0.00      0.03      0.00      0.00     97.07
06:20:01 PM     all      1.11      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.73
06:20:01 PM       0      1.11      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.73

06:20:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:30:01 PM     all      1.37      0.00      1.42      0.04      0.00      0.00      0.01      0.00      0.00     97.16
06:30:01 PM       0      1.37      0.00      1.42      0.04      0.00      0.00      0.01      0.00      0.00     97.16
06:40:01 PM     all      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.73
06:40:01 PM       0      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.73
06:50:01 PM     all      1.10      0.00      1.11      0.04      0.00      0.00      0.01      0.00      0.00     97.75
06:50:01 PM       0      1.10      0.00      1.11      0.04      0.00      0.00      0.01      0.00      0.00     97.75
07:00:01 PM     all      1.35      0.00      1.43      0.04      0.00      0.00      0.00      0.00      0.00     97.17
07:00:01 PM       0      1.35      0.00      1.43      0.04      0.00      0.00      0.00      0.00      0.00     97.17
07:10:01 PM     all      1.17      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.68
07:10:01 PM       0      1.17      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.68
07:20:01 PM     all      1.13      0.00      1.15      0.03      0.00      0.00      0.00      0.00      0.00     97.70
07:20:01 PM       0      1.13      0.00      1.15      0.03      0.00      0.00      0.00      0.00      0.00     97.70
07:30:01 PM     all      1.15      0.00      1.09      0.02      0.00      0.00      0.00      0.00      0.00     97.74
07:30:01 PM       0      1.15      0.00      1.09      0.02      0.00      0.00      0.00      0.00      0.00     97.74
07:40:01 PM     all      1.35      0.00      1.43      0.04      0.00      0.00      0.00      0.00      0.00     97.18
07:40:01 PM       0      1.35      0.00      1.43      0.04      0.00      0.00      0.00      0.00      0.00     97.18
07:50:01 PM     all      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
07:50:01 PM       0      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
08:00:01 PM     all      1.10      0.00      1.13      0.02      0.00      0.00      0.00      0.00      0.00     97.75
08:00:01 PM       0      1.10      0.00      1.13      0.02      0.00      0.00      0.00      0.00      0.00     97.75
08:10:01 PM     all      1.38      0.00      1.40      0.04      0.00      0.00      0.00      0.00      0.00     97.17
08:10:01 PM       0      1.38      0.00      1.40      0.04      0.00      0.00      0.00      0.00      0.00     97.17

08:10:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:20:01 PM     all      1.12      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
08:20:01 PM       0      1.12      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.72
08:30:01 PM     all      1.13      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.74
08:30:01 PM       0      1.13      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.74
08:40:01 PM     all      1.32      0.00      1.38      0.05      0.00      0.00      0.01      0.00      0.00     97.24
08:40:01 PM       0      1.32      0.00      1.38      0.05      0.00      0.00      0.01      0.00      0.00     97.24
08:50:01 PM     all      1.13      0.00      1.10      0.03      0.00      0.00      0.01      0.00      0.00     97.74
08:50:01 PM       0      1.13      0.00      1.10      0.03      0.00      0.00      0.01      0.00      0.00     97.74
09:00:01 PM     all      1.09      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.74
